"","Peak","VolO2_integral","VolCO2_integral","Mean_CO2","Channel","Filename","Start_sample","End_sample","VO2","VCO2","VO2_mlhr","VCO2_mlhr"
"1",1,1.0801405536422,0.8148757866511,0.0603727186046512,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",6360,6961,0.0154305793377456,0.0113976007872783,0.925834760264739,0.6838560472367
"2",2,1.08578172357102,0.803026102000331,0.0593171774086379,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",11160,11761,0.015511167479586,0.0112170888322148,0.930670048775158,0.673025329932889
"3",3,1.16794583345654,0.761753269469409,0.0561188207641196,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",15960,16561,0.0166849404779506,0.0105371847627667,1.00109642867704,0.632231085766002
"4",4,1.05169117534206,0.845741638984691,0.0626079169435216,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",20760,21361,0.0150241596477437,0.0118855197052305,0.901449578864621,0.713131182313832
"5",1,0.834430524438631,0.645799306772915,0.0507255051495017,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",6960,7561,0.011920436063409,0.00908170849245158,0.71522616380454,0.544902509547095
"6",2,0.873406607793186,0.667420308162491,0.051886053820598,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",11760,12361,0.0124772372541884,0.00937353707642637,0.748634235251302,0.562412224585582
"7",3,1.07532949018059,0.653065954836165,0.0506232182724252,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",16560,17161,0.0153618498597228,0.00900785391700642,0.921710991583365,0.540471235020385
"8",4,0.753960655029005,0.638877359560865,0.0498582873754153,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",21360,21961,0.0107708665004144,0.0090405487422613,0.646251990024861,0.542432924535678
"9",1,0.956441463751162,0.740920052688125,0.0630762249169435,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",7560,8161,0.0136634494821595,0.0103772938921515,0.819806968929567,0.622637633529091
"10",2,0.887239701733051,0.621042279569338,0.0523464928571429,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",12360,12961,0.0126748528819007,0.00866197234279963,0.760491172914044,0.519718340567978
"11",3,1.14340704061942,0.677413456387512,0.0572739531561462,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",17160,17761,0.0163343862945632,0.00927289560424004,0.98006317767379,0.556373736254403
"12",4,0.775769063771804,0.624788447248648,0.0530961757475083,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",21960,22561,0.0110824151967401,0.00880460630518395,0.664944911804404,0.528276378311037
"13",1,0.895215435315095,0.637373040560306,0.0490062696013289,"Channel_5","Data_06-29-2025_001_DAY_LagDrift.txt",8160,8761,0.0127887919330728,0.00891551426102429,0.767327515984367,0.534930855661458
"14",2,0.932722234744688,0.627259776174469,0.047810150166113,"Channel_5","Data_06-29-2025_001_DAY_LagDrift.txt",12960,13561,0.0133246033534955,0.00874174688962203,0.799476201209732,0.524504813377321
"15",3,1.10826730395092,0.576235084807195,0.0437216848837209,"Channel_5","Data_06-29-2025_001_DAY_LagDrift.txt",17760,18361,0.0158323900564418,0.00788443165004659,0.949943403386507,0.473065899002795
"16",4,0.65163309775653,0.580141830029788,0.0441465782392027,"Channel_5","Data_06-29-2025_001_DAY_LagDrift.txt",22560,23161,0.00930904425366472,0.00824057099048763,0.558542655219883,0.494434259429258
"17",1,1.04533312951571,0.709072850608209,0.0517271066445183,"Channel_6","Data_06-29-2025_001_DAY_LagDrift.txt",8760,9361,0.014933330421653,0.00986757529592214,0.895999825299181,0.592054517755329
"18",2,0.986468557438457,0.701536217268767,0.0506748772425249,"Channel_6","Data_06-29-2025_001_DAY_LagDrift.txt",13560,14161,0.0140924079634065,0.00980466511867827,0.845544477804391,0.588279907120696
"19",3,1.16750944864179,0.719718365663539,0.0520355833887043,"Channel_6","Data_06-29-2025_001_DAY_LagDrift.txt",18360,18961,0.0166787064091685,0.00993054650039738,1.00072238455011,0.595832790023843
"20",4,0.620798664131144,0.652313637446241,0.047295265448505,"Channel_6","Data_06-29-2025_001_DAY_LagDrift.txt",23160,23761,0.00886855234473062,0.00934111628628943,0.532113140683837,0.560466977177366
"21",1,1.03714547480649,0.576112221287076,0.0361580875415282,"Channel_7","Data_06-29-2025_001_DAY_LagDrift.txt",9360,9961,0.014816363925807,0.00798309671584283,0.888981835548423,0.47898580295057
"22",2,0.921474594248139,0.583172376142102,0.0363447727574751,"Channel_7","Data_06-29-2025_001_DAY_LagDrift.txt",14160,14761,0.0131639227749734,0.00814875895552791,0.789835366498404,0.488925537331675
"23",3,1.1349361646844,0.587782364801569,0.0367103870431894,"Channel_7","Data_06-29-2025_001_DAY_LagDrift.txt",18960,19561,0.0162133737812058,0.00809900947131103,0.972802426872347,0.485940568278662
"24",4,0.684702843149353,0.772862795920446,0.048672615282392,"Channel_7","Data_06-29-2025_001_DAY_LagDrift.txt",23760,24361,0.0097814691878479,0.011105332998521,0.586888151270874,0.666319979911258
"25",1,1.39752811040307,0.894498418270814,0.0573201358803987,"Channel_8","Data_06-29-2025_001_DAY_LagDrift.txt",9960,10561,0.0199646872914725,0.0123415919729535,1.19788123748835,0.740495518377208
"26",2,1.28368244422018,0.88081782102563,0.0559108426910299,"Channel_8","Data_06-29-2025_001_DAY_LagDrift.txt",14760,15361,0.0183383206317168,0.0122422767801129,1.10029923790301,0.734536606806776
"27",3,1.34605636805645,0.887118251477659,0.0564624858803987,"Channel_8","Data_06-29-2025_001_DAY_LagDrift.txt",19560,20161,0.0192293766865207,0.0122807830056579,1.15376260119124,0.736846980339476
"28",4,0.751186940218759,0.810328462206598,0.0515391480066445,"Channel_8","Data_06-29-2025_001_DAY_LagDrift.txt",24360,24961,0.0107312420031251,0.0116220314160618,0.643874520187507,0.697321884963707
